ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
18208,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.038935209
18208,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.783954135
18209,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.264036087
18216,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.389280187
19129,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.166491885
19129,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.272921141
19129,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.704948217
19872,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.780161074
21054,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.073309635
21054,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.455857101
21487,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,1.24780044
21494,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.304183119
21497,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.31396377
21498,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,1.119481204
21592,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.617401133
22689,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.091912749
2708,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,2.874932564
5181,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.284766057
5181,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.020873119
5181,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.01605099
5422,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.455513052
5444,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.701466355
5686,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.732265061
9534,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.561984426
10230,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.197660352
11458,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.980738388
11458,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.548065734
13875,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.147567801
13875,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.589419415
13875,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.076633411
13877,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.032847104
13903,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.16824235
13903,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.645427047
13903,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.214990778
14000,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.030102291
14000,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.220236937
146,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.282909928
146,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.239711017
146,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.017575878
15555,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,2.948651471
15555,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,2.656311196
16322,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.29944208
16893,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.76367189
17529,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.124771044
18083,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.43637425
18208,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.138233328
18208,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.716376151
18209,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.120135304
18216,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.731513123
19129,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.200526768
19129,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.204833551
19129,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.093797726
19872,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.838520985
21054,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.11421014
21054,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.401843685
21487,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,1.095910845
21494,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.039703563
21497,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.154281246
21498,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,1.638076752
21592,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.612451358
22689,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.143899576
2708,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,3.293215186
5181,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.253246981
5181,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.073507263
5181,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.101955486
5422,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.32833622
5444,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.74122319
5686,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.973484692
9534,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.315588716
10230,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.312600977
11458,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.108737493
11458,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.589269141
13875,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.161104163
13875,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.573956493
13875,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,0.053081871
13877,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.192892843
13903,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.24369835
13903,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.533001844
13903,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,-0.115985967
14000,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.131711064
14000,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.303174374
146,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.217368408
146,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.269673094
146,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,0.154676956
15555,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,3.180102741
15555,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,2.325779467
16322,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.399352787
16893,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.942078296
17529,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.152995343
18083,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.319292468
18208,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.011961819
18208,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.72325441
18209,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.142644913
18216,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.642952367
19129,20201112,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.13233242
19129,20201119,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.378448227
19129,20201207,Day 3,3,4,A. baumannii,0.1ng/mL LPS,0.79818015
19872,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,1.02833532
21054,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.004249709
21054,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,0.414850294
21487,20210210,Day 3,1,4,A. baumannii,0.1ng/mL LPS,1.503823887
21494,20210310,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.234647591
21497,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,0.33248695
21498,20210311,Day 3,1,4,A. baumannii,0.1ng/mL LPS,1.132798767
