ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC Difference
18208,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.019536486
18208,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.054203274
18209,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.184017961
18216,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.272980092
19129,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.085297169
19129,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,-0.274630365
19129,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,-0.30767888
19872,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.133638949
21054,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.054342784
21054,20210118,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.038565697
21487,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.293751147
21494,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.03913469
21497,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.195065018
21498,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.242085764
21592,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.266128133
22689,20210310,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.075972723
2708,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.301029996
5181,20201112,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.09519109
5181,20201119,Day 3,2,2,A. baumannii,0.1ng/mL LPS,0.076880828
5181,20201207,Day 3,3,2,A. baumannii,0.1ng/mL LPS,0.020361114
5422,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.043070729
5444,20210210,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.019376284
5686,20210311,Day 3,1,2,A. baumannii,0.1ng/mL LPS,0.045948538
9534,20210125,Day 3,1,2,A. baumannii,0.1ng/mL LPS,-0.110305685
10230,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.18752528
11458,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.240488943
11458,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-1.668912768
13875,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.128524548
13875,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,0.011345078
13875,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.214003687
13877,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.083147433
13903,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.090742096
13903,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.066202891
13903,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,0.056513463
14000,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.270996699
14000,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.138739378
146,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.256865798
146,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.203794599
146,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.085492558
15555,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0
15555,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.109144469
16322,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.085743553
16893,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.165340847
17529,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.038849991
18083,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.151454108
18208,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.053789733
18208,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.103013429
18209,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.323546145
18216,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.054991409
19129,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.198661742
19129,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.366340506
19129,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,-0.495576193
19872,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.178468592
21054,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.106300824
21054,20210118,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.111279166
21487,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.176481286
21494,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.096200229
21497,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.229984493
21498,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.106288198
21592,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.285038187
22689,20210310,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.396912324
2708,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.315270435
5181,20201112,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.129630298
5181,20201119,Day 3,2,3,A. baumannii,0.1ng/mL LPS,-0.180048661
5181,20201207,Day 3,3,3,A. baumannii,0.1ng/mL LPS,0.056149272
5422,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.058608405
5444,20210210,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.073601222
5686,20210311,Day 3,1,3,A. baumannii,0.1ng/mL LPS,0.200097499
9534,20210125,Day 3,1,3,A. baumannii,0.1ng/mL LPS,-0.126937334
10230,20210125,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-1.117823482
11458,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,-0.102520914
11458,20210118,Day 3,2,4,A. baumannii,0.1ng/mL LPS,-0.321775667
