ICMP,Test_Date,Incubation_time,BioRep,TechRep,Bacteria,Additives,AUC
10230,20210125,Day 3,1,1,S. aureus,0.1ng/mL LPS,18
10230,20210125,Day 3,1,2,S. aureus,0.1ng/mL LPS,27.33333333
10230,20210125,Day 3,1,3,S. aureus,0.1ng/mL LPS,15.33333333
10230,20210125,Day 3,1,4,S. aureus,0.1ng/mL LPS,13.66666667
10230,20210125,Day 3,1,1,S. aureus,100ng/mL LPS,22.33333333
10230,20210125,Day 3,1,2,S. aureus,100ng/mL LPS,15.33333333
10230,20210125,Day 3,1,3,S. aureus,100ng/mL LPS,19
10230,20210125,Day 3,1,4,S. aureus,100ng/mL LPS,27.66666667
10230,20210125,Day 3,1,1,S. aureus,0.1ng/mL LTA,28.33333333
10230,20210125,Day 3,1,2,S. aureus,0.1ng/mL LTA,28.33333333
10230,20210125,Day 3,1,3,S. aureus,0.1ng/mL LTA,25.66666667
10230,20210125,Day 3,1,4,S. aureus,0.1ng/mL LTA,30
10230,20210125,Day 3,1,1,S. aureus,100ng/mL LTA,16.33333333
10230,20210125,Day 3,1,2,S. aureus,100ng/mL LTA,31.66666667
10230,20210125,Day 3,1,3,S. aureus,100ng/mL LTA,13.66666667
10230,20210125,Day 3,1,4,S. aureus,100ng/mL LTA,20.66666667
10230,20210125,Day 3,1,1,S. aureus,Fungi alone,10.33333333
10230,20210125,Day 3,1,2,S. aureus,Fungi alone,29.33333333
10230,20210125,Day 3,1,3,S. aureus,Fungi alone,13.66666667
10230,20210125,Day 3,1,4,S. aureus,Fungi alone,31
10230,20210125,Day 3,1,1,S. aureus,Autoclaved bacteria,12
10230,20210125,Day 3,1,2,S. aureus,Autoclaved bacteria,27.33333333
10230,20210125,Day 3,1,3,S. aureus,Autoclaved bacteria,19.66666667
10230,20210125,Day 3,1,4,S. aureus,Autoclaved bacteria,37
11458,20210114,Day 3,1,1,A. baumannii,0.1ng/mL LPS,1865.666667
11458,20210114,Day 3,1,2,A. baumannii,0.1ng/mL LPS,13797.83333
11458,20210114,Day 3,1,3,A. baumannii,0.1ng/mL LPS,1269.333333
11458,20210114,Day 3,1,4,A. baumannii,0.1ng/mL LPS,12178.83333
11458,20210114,Day 3,1,1,A. baumannii,100ng/mL LPS,10083.66667
